FID_grid,Longitude,Latitude,Samara species richness,Woody samara species richness,Herb samara species richness,Total species,Precentage of total samara,Precentage of woody samara,Precentage of herb samara,Altitude,TOP,ARI,MAT,MDR,TS,TWarmQ,MTCQ,AP,PS,PWQ,PDQ,AMeanW,AMaxW,AMinW
0,109.0082855,18.92713356,81,47,34,2958,0.027383367,0.031564809,0.023303633,280.0641,271.2951,1.11000769,24.25,7.616666667,355.9238938,28,19.36666667,1264,85.70475198,671,41,2.141666641,2.5,1.799999952
1,109.8691483,18.88884163,63,43,20,2591,0.024314936,0.028086218,0.019029496,325.3529,261.7119,0.487464432,23.71666667,7.816666667,329.1057673,27.16666667,19.16666667,1702,79.10248466,853,64,2.116666645,2.400000095,1.700000048
2,109.9079285,19.66717529,21,13,8,1351,0.015544041,0.016393443,0.014466546,87.9154,61.8578,0.123828323,24.275,7.583333333,404.3991053,28.55,18.78333333,1176,61.88114156,505,84,2.383333335,2.799999952,1.899999976
3,110.6493607,19.71165657,7,4,3,423,0.016548463,0.017621145,0.015384615,38.0872,33.3215,0.026397545,24.0625,7.008333333,393.3834874,28.15,18.58333333,1797,64.88507059,778,115,2.683333337,3,2.099999905
4,110.2298431,20.5479126,7,3,4,683,0.010248902,0.007853403,0.013513514,42.4865,41.0229,0.287699959,23.07083333,6.408333333,459.6810076,27.98333333,16.93333333,1296,67.73599934,604,82,2.758333325,3.099999905,2.299999952
5,100.6838074,21.82125092,62,37,25,2064,0.03003876,0.032062392,0.027746948,1192.9024,359.391,1.670999634,18.87916667,12.15833333,334.1302028,22.11666667,14.15,1569,87.18326954,855,57,1.37499999,1.799999952,1
6,101.3807602,21.7250309,85,52,33,2778,0.030597552,0.032418953,0.02852204,955.3872,246.4555,1.632058777,20.72916667,11.79166667,336.4011292,23.96666667,15.96666667,1593,78.14239918,828,71,1.174999992,1.5,0.899999976
7,107.2537079,21.96641159,38,29,9,1082,0.035120148,0.037908497,0.029126214,349.5876,185.1788,0.476052567,21.725,7.8,527.1341903,27.3,14.71666667,1552,79.54414672,830,94,1.716666659,2.099999905,1.299999952
8,108.1045074,21.85604858,46,30,16,1592,0.028894472,0.027051398,0.033264033,208.354,216.497,1.35234391,22.00833333,7.15,531.0574072,27.6,14.95,2182,86.77111219,1252,125,2.12499996,2.400000095,1.899999976
9,109.2991638,21.78958511,9,7,2,387,0.023255814,0.025547445,0.018018018,37.294,28.5772,0.00404108,22.85416667,6.791666667,547.9899565,28.6,15.48333333,1647,80.92658781,894,101,2.358333329,2.700000048,2
10,110.2481308,21.62820625,21,7,14,679,0.030927835,0.016548463,0.055335968,54.5758,48.0908,0.120376994,23.12083333,6.658333333,518.4524978,28.65,16.18333333,1484,72.95683991,713,96,2.158333321,2.400000095,1.899999976
11,110.9719696,21.72831345,15,10,5,669,0.022421525,0.022573363,0.022522523,82.1177,149.0875,0.012326756,23.2125,7.258333333,496.1768609,28.46666667,16.51666667,1745,75.47255983,846,99,2.566666663,2.700000048,2.200000048
12,111.6864929,21.67065239,0,0,0,0,NA,NA,NA,62.5612,112.9666,1.610395557,21.86666667,6.866666667,481.8351912,26.98333333,15.36666667,2099,77.28346902,995,105,3.141666671,3.700000048,2.400000095
13,99.62561798,22.50013542,33,15,18,1010,0.032673267,0.026315789,0.041002278,1378.218,322.0995,0.603133667,19.425,12.75,359.9842168,22.85,14.38333333,1501,88.52119434,830,40,1.091666669,1.399999976,0.699999988
14,100.4077988,22.57188606,18,14,4,582,0.030927835,0.038461538,0.018604651,1293.1189,332.602,1.339675232,20.56666667,12.66666667,365.0425463,24.05,15.43333333,1465,88.42654996,826,52,1.175000007,1.5,0.800000012
15,101.3719559,22.60955048,1,1,0,72,0.013888889,0.019230769,0,1269.9947,268.212,1.288382996,18.09166667,11.45,373.5689868,21.71666667,12.81666667,1632,89.75299017,948,62,1.425000002,1.899999976,1.100000024
16,102.2746658,22.81500626,74,43,31,1995,0.037092732,0.039055404,0.03490991,1272.4575,404.4164,3.0329198,19.64166667,10.88333333,380.3636617,23.48333333,14.38333333,1575,90.80312769,930,64,1.574999998,2,1.200000048
17,103.0581131,22.78158379,99,71,28,2200,0.045,0.049339819,0.037184595,1208.0416,555.4275,1.130454712,17.8,9.366666667,394.9683532,21.91666667,12.43333333,1402,92.78299893,837,52,1.800000012,2.200000048,1.399999976
18,104.0242691,22.86807632,113,65,48,2754,0.041031227,0.038348083,0.045714286,1182.2966,453.1514,1.688994507,16.4875,7.241666667,448.3967653,21.25,10.35,1662,91.55761612,950,60,1.891666661,2.299999952,1.600000024
19,107.1648865,22.64979553,100,56,44,2426,0.041220115,0.036817883,0.049217002,311.4454,154.8816,0.603778198,22.4875,8.308333333,554.9902743,28.41666667,15.05,1431,76.34178587,741,96,1.533333331,1.899999976,1.299999952
20,108.1300049,22.62553596,11,7,4,533,0.020637899,0.018372703,0.026845638,156.8854,90.0165,0.244051071,21.875,7.5,570.1654465,28,14.25,1477,71.53861418,745,110,1.683333317,2,1.399999976
21,109.0945358,22.59243393,22,18,4,685,0.032116788,0.040632054,0.016528926,121.5615,79.1843,0.017026199,22.1125,7.258333333,583.8824796,28.33333333,14.28333333,1542,71.8658858,766,109,1.708333333,1.899999976,1.399999976
22,110.0582962,22.55049706,10,2,8,526,0.019011407,0.005780347,0.04519774,195.7117,148.163,0.012132576,21.76666667,7.616666667,578.5928594,27.95,13.98333333,1313,62.74657438,569,107,1.766666651,1.899999976,1.5
23,111.0210953,22.49973297,47,30,17,1785,0.026330532,0.027272727,0.024817518,314.5052,226.9667,0.573911407,22,8.516666667,517.9548945,27.55,15.03333333,1744,74.67899642,821,99,1.883333315,2.099999905,1.5
24,111.9818878,22.44107246,32,18,14,1442,0.022191401,0.020665901,0.024647887,179.9025,172.4202,0.521854546,22.025,7.4,529.0149508,27.73333333,14.98333333,1739,75.45006515,840,97,1.883333306,2.099999905,1.700000048
25,112.9431305,22.37176132,16,11,5,735,0.021768707,0.023758099,0.018656716,51.7895,96.0725,0.627554448,22.07916667,6.708333333,533.6387028,27.85,15.01666667,1380,87.41381733,784,69,2.575000028,3,2.400000095
26,114.1038818,22.55969238,0,0,0,0,NA,NA,NA,78.0569,108.0416,0.094400784,22.78333333,7.266666667,518.9645869,28.43333333,15.9,2033,78.2508735,1033,96,2.883333325,3.099999905,2.5
27,99.41333771,23.47490692,57,39,18,1458,0.03909465,0.043141593,0.032727273,1478.9295,468.5234,0.48969104,19.7875,12.39166667,393.966571,23.56666667,14.26666667,1391,90.94753664,800,43,1.158333341,1.700000048,0.899999976
28,100.3627548,23.47953796,42,34,8,1000,0.042,0.047887324,0.027972028,1506.8906,385.5976,0.612543457,19.58333333,11.93333333,389.7162915,23.38333333,14.15,1285,89.71916165,738,48,1.208333333,1.799999952,0.899999976
29,101.3363419,23.51745033,11,11,0,229,0.048034934,0.064705882,0,1482.6023,382.9396,1.409931885,16.8875,11.19166667,394.8769947,20.96666667,11.46666667,1314,91.24820416,769,51,1.691666663,2.200000048,1.299999952
30,102.3106384,23.54646683,71,49,22,1875,0.037866667,0.044585987,0.029100529,1509.4465,442.2978,2.666524658,21.4875,11.09166667,414.460904,25.7,15.83333333,1037,85.07176137,585,46,1.366666675,1.899999976,1
31,103.2854538,23.56658173,102,69,33,2593,0.039336676,0.04989154,0.027754415,1586.5494,356.465,0.405808594,19.76666667,10.71666667,416.8732821,24.01666667,14.11666667,899,86.26685111,510,39,1.700000008,2.400000095,1.299999952
32,104.2606049,23.57778931,149,114,35,3524,0.042281498,0.055420515,0.024021963,1572.3794,213.9258,0.432314575,15.60416667,8.808333333,468.8984108,20.53333333,9.166666667,1161,84.55619439,636,49,2.283333311,3,1.700000048
33,105.2360687,23.65031433,123,85,38,2518,0.048848292,0.053492763,0.041214751,1266.5743,292.2974,0.303435791,15.7375,8.791666667,504.4849984,21.08333333,8.8,1296,86.47555117,722,52,2.024999996,2.5,1.700000048
34,106.2111359,23.57348061,124,81,43,2918,0.042494859,0.044069641,0.040186916,770.5847,284.9377,1.221010254,17.32083333,8.208333333,526.1716724,22.98333333,10.11666667,1416,87.28701362,802,63,2.074999978,2.5,1.799999952
35,107.1861496,23.55796242,42,34,8,907,0.046306505,0.051437216,0.032520325,402.713,177.9998,0.427931534,22.81666667,8.516666667,579.472069,29.08333333,15,1347,75.23693255,691,98,1.608333329,2,1.299999952
36,108.1607361,23.53354263,47,24,23,1355,0.034686347,0.028268551,0.045816733,307.9382,185.3007,0.419500717,21.69583333,7.758333333,605.0148696,28.26666667,13.6,1690,69.38846332,834,137,1.658333331,1.899999976,1.399999976
37,109.1347122,23.50022125,2,1,1,170,0.011764706,0.007633588,0.025641026,163.0491,104.0169,0.403923935,21.1625,7.575,624.6239778,27.96666667,12.85,1471,65.95832878,698,123,1.774999976,2,1.5
